City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,kurilsk,45.2333,147.8833,37.44,71,79,9.4,RU,1637705386
166,kosh-agach,50.0,88.6667,15.58,80,100,4.79,RU,1637705386
167,sao joao da barra,-21.6403,-41.0511,72.57,85,5,9.93,BR,1637705387
168,karatau,43.1667,70.4667,39.25,55,14,1.25,KZ,1637705387
169,bambous virieux,-20.3428,57.7575,71.85,88,40,4.61,MU,1637705387
170,east london,-33.0153,27.9116,61.39,72,72,19.46,ZA,1637705388
171,tukrah,32.5341,20.5791,66.56,61,53,7.38,LY,1637705388
172,kamenka,51.3223,42.7678,17.74,65,6,5.3,RU,1637705388
173,meulaboh,4.1363,96.1285,76.42,86,100,5.06,ID,1637705388
174,asfi,32.2994,-9.2372,61.39,75,62,6.17,MA,1637705389
175,fairbanks,64.8378,-147.7164,-4.0,62,1,0.0,US,1637705105
176,yar-sale,66.8333,70.8333,8.53,96,97,8.5,RU,1637705389
177,shingu,33.7333,135.9833,47.73,71,21,12.62,JP,1637705389
178,hilo,19.7297,-155.09,80.33,69,1,8.05,US,1637705130
179,ilhabela,-23.7781,-45.3581,73.9,73,26,3.44,BR,1637705390
180,aktau,43.65,51.2,45.18,78,72,10.98,KZ,1637705390
181,lodwar,3.1191,35.5973,82.42,45,3,1.79,KE,1637705390
182,yanggu,36.1106,115.7753,36.23,53,0,5.82,CN,1637705390
183,vaasa,63.096,21.6158,39.22,87,20,16.11,FI,1637705391
184,ustka,54.5805,16.8619,46.33,88,88,15.41,PL,1637705391
185,luanda,-8.8368,13.2343,78.8,83,40,9.22,AO,1637705391
186,rapid valley,44.0625,-103.1463,63.07,23,1,1.99,US,1637705391
187,pringsewu,-5.3582,104.9744,73.54,84,100,2.15,ID,1637705392
188,hithadhoo,-0.6,73.0833,82.22,75,99,18.7,MV,1637705392
189,carinhanha,-14.3047,-43.765,78.22,75,100,3.89,BR,1637705392
190,puerto baquerizo moreno,-0.9,-89.6,72.59,73,20,13.8,EC,1637705393
191,viedma,-40.8135,-62.9967,84.88,19,92,14.07,AR,1637705177
192,pimentel,-6.8367,-79.9342,70.09,64,0,20.71,PE,1637705393
193,ancud,-41.8697,-73.8203,66.42,85,41,8.46,CL,1637705394
194,kaeo,-35.1,173.7833,65.32,87,88,8.66,NZ,1637705394
195,batsfjord,70.6345,29.7185,22.93,79,0,8.05,NO,1637705394
196,iquitos,-3.7481,-73.2472,80.64,78,75,2.3,PE,1637705094
197,aswan,24.0934,32.907,65.98,48,0,8.34,EG,1637705134
198,ilulissat,69.2167,-51.1,19.42,42,100,14.97,GL,1637705394
199,kant,27.8,79.8,58.84,54,0,3.33,IN,1637705395
200,los llanos de aridane,28.6585,-17.9182,65.12,83,0,6.91,ES,1637705395
201,kolokani,13.5728,-8.0339,77.52,25,2,8.3,ML,1637705395
202,ostrovnoy,68.0531,39.5131,21.99,92,100,5.17,RU,1637705396
203,klaksvik,62.2266,-6.589,43.72,88,100,37.42,FO,1637705172
204,wajir,1.7471,40.0573,83.62,47,80,10.47,KE,1637705396
205,mashhad,36.297,59.6062,48.34,71,20,0.0,IR,1637705183
206,nhamunda,-2.1861,-56.7131,81.01,68,89,3.31,BR,1637705396
207,anupshahr,28.3667,78.2667,59.94,33,0,3.29,IN,1637705397
208,takoradi,4.8845,-1.7554,80.15,82,60,7.9,GH,1637705397
209,tiquisio,8.5597,-74.2669,75.6,98,96,4.05,CO,1637705397
210,port elizabeth,-33.918,25.5701,57.09,60,72,12.01,ZA,1637705397
211,arraial do cabo,-22.9661,-42.0278,72.48,86,5,9.55,BR,1637705398
212,norman wells,65.282,-126.8329,-11.51,96,100,3.36,CA,1637705398
213,udachnyy,66.4167,112.4,-25.26,97,64,7.63,RU,1637705398
214,saskylakh,71.9167,114.0833,-23.01,94,13,11.32,RU,1637705398
215,abha,18.2164,42.5053,53.85,22,0,5.75,SA,1637705399
216,tabas,33.5959,56.9244,60.35,63,100,2.95,IR,1637705399
217,nouadhibou,20.931,-17.0347,71.53,73,100,15.79,MR,1637705399
218,olafsvik,64.8945,-23.7142,33.82,70,71,21.72,IS,1637705400
219,alta floresta,-9.8756,-56.0861,75.4,94,86,3.49,BR,1637705400
220,vanimo,-2.6741,141.3028,80.01,84,100,4.03,PG,1637705400
221,longyearbyen,78.2186,15.6401,4.84,72,20,11.5,SJ,1637705401
222,upernavik,72.7868,-56.1549,0.01,68,6,8.9,GL,1637705401
223,sadiqabad,28.3062,70.1307,68.77,13,0,5.68,PK,1637705401
224,novoagansk,61.9449,76.6625,10.6,95,100,7.18,RU,1637705401
225,sukagawa,37.2833,140.3833,44.11,90,75,2.3,JP,1637705402
226,tilichiki,60.4667,166.1,-0.6,91,84,9.26,RU,1637705403
227,puerto ayora,-0.7393,-90.3518,76.96,76,28,11.65,EC,1637705403
228,saint-francois,46.4154,3.9054,31.68,89,2,2.3,FR,1637705359
229,jaciara,-15.9653,-54.9683,77.56,84,100,1.77,BR,1637705403
230,kayiry,46.9454,33.7059,34.72,58,15,8.16,UA,1637705404
231,puerto colombia,10.9878,-74.9547,80.69,76,100,11.54,CO,1637705404
232,lebu,-37.6167,-73.65,59.31,79,0,16.91,CL,1637705404
233,kavaratti,10.5669,72.642,81.19,79,68,12.46,IN,1637705405
234,honiara,-9.4333,159.95,84.63,71,90,5.84,SB,1637705405
235,umm kaddadah,13.6017,26.6876,69.82,20,4,13.22,SD,1637705405
236,peniche,39.3558,-9.3811,54.63,72,6,4.18,PT,1637705405
237,hervey bay,-25.2986,152.8535,82.04,82,100,3.0,AU,1637705189
238,dalvik,65.9702,-18.5286,33.64,98,89,27.96,IS,1637705406
239,chapais,49.7834,-74.8492,17.38,94,100,4.21,CA,1637705406
240,inuvik,68.3499,-133.7218,-17.77,99,100,3.4,CA,1637705406
241,moree,-29.4667,149.85,73.42,64,100,16.11,AU,1637705406
242,porto novo,6.4965,2.6036,80.44,86,95,7.27,BJ,1637705367
243,oranjemund,-28.55,16.4333,60.89,88,78,14.83,NA,1637705407
